Iceberg,Length (NM),Width (NM),Latitude,Longitude,Area (sqMI),Area (sqNM),Area (sqKM),Last Update
A76C,16,7,-52.27,-31.57,112.44,84.90,291.21,07/17/2026
A81,28,25,-61.22,-53.39,545.45,411.88,1412.71,07/17/2026
A83,12,7,-62.63,-50.85,73.29,55.34,189.82,07/17/2026
A84,12,6,-72.02,-107.7,76.06,57.43,196.99,07/17/2026
A85,10,3,-65.12,-53.71,24.18,18.26,62.62,07/17/2026
B09B,27,10,-66.06,143.17,196.50,148.38,508.94,07/17/2026
B09G,12,7,-68.18,41.51,61.80,46.66,160.06,07/17/2026
B22A,29,25,-69.07,174.44,549.47,414.92,1423.13,07/17/2026
B22F,14,7,-66.56,-178.99,91.64,69.20,237.35,07/17/2026
B22H,8,6,-70.19,164.04,29.14,22.00,75.47,07/17/2026
B51,15,3,-74.22,-131.64,30.50,23.03,79.00,07/17/2026
C15,14,10,-65.84,143.02,82.44,62.25,213.53,07/17/2026
C18B,10,4,-67.04,47.37,42.63,32.19,110.40,07/17/2026
C18C,10,2,-68.47,39.07,20.49,15.47,53.07,07/17/2026
C21B,12,8,-64.98,95.83,99.99,75.50,258.97,07/17/2026
C24,11,3,-64.84,96.01,22.35,16.87,57.88,07/17/2026
C30,9,3,-64.78,96.27,28.98,21.89,75.06,07/17/2026
C31,9,3,-64.68,96.49,28.21,21.30,73.07,07/17/2026
C36,23,16,-67.51,146.48,327.46,247.28,848.13,07/17/2026
C39,8,3,-66.72,63.31,20.13,15.20,52.13,07/17/2026
D15A,51,22,-66.63,81.93,1172.77,885.59,3037.47,07/17/2026
D15B,20,12,-67.01,81.58,235.72,178.00,610.52,07/17/2026
D15C,14,7,-67.19,79.49,44.64,33.71,115.62,07/17/2026
D15D,8,6,-67.26,79.27,21.58,16.30,55.89,07/17/2026
D23,7,6,-69.43,74.72,40.77,30.79,105.60,07/17/2026
D32,9,6,-61.03,-39.28,41.08,31.02,106.39,07/17/2026
D33A,19,10,-64.39,-55.74,172.22,130.04,446.04,07/17/2026
D33B,21,12,-61.77,-52.16,123.81,93.49,320.68,07/17/2026
D33C,9,5,-63.25,-52.99,31.55,23.82,81.72,07/17/2026
D33D,15,6,-63.99,-55.44,83.08,62.73,215.17,07/17/2026
D34,11,8,-67.15,82.07,64.02,48.34,165.80,07/17/2026
D35,28,6,-61.85,-44.47,140.18,105.85,363.06,07/17/2026
D37,30,7,-69.21,36.37,184.47,139.29,477.77,07/17/2026
