Iceberg,Length (NM),Width (NM),Latitude,Longitude,Area (sqMI),Area (sqNM),Area (sqKM),Last Update
A76C,16,7,-54.25,-32.6,112.44,84.90,291.21,06/12/2026
A81,28,25,-63.32,-53.02,545.45,411.88,1412.71,06/12/2026
A83,12,7,-64.2,-53.03,73.29,55.34,189.82,06/12/2026
A84,12,6,-72.38,-108.4,76.06,57.43,196.99,06/12/2026
A85,10,3,-66.42,-55.1,24.18,18.26,62.62,06/12/2026
B09B,27,10,-66.09,143.24,196.50,148.38,508.94,06/12/2026
B09G,12,7,-68.18,41.51,61.80,46.66,160.06,06/12/2026
B22A,29,25,-69.97,175.86,549.47,414.92,1423.13,06/12/2026
B22F,14,7,-67.6,177.7,91.64,69.20,237.35,06/12/2026
B22H,8,6,-70.23,164.3,29.37,22.18,76.06,06/12/2026
B51,16,3,-74.22,-131.63,31.48,23.77,81.52,06/12/2026
C15,14,10,-65.84,143.02,82.44,62.25,213.53,06/12/2026
C18B,10,4,-67.03,47.37,42.63,32.19,110.40,06/12/2026
C18C,10,2,-68.47,39.07,20.49,15.47,53.07,06/12/2026
C21B,12,8,-64.98,95.84,99.99,75.50,258.97,06/12/2026
C24,11,3,-64.84,96.02,22.35,16.87,57.88,06/12/2026
C30,9,3,-64.78,96.28,28.98,21.89,75.06,06/12/2026
C31,9,3,-64.68,96.49,28.21,21.30,73.07,06/12/2026
C36,23,16,-67.51,146.48,330.41,249.50,855.76,06/12/2026
C39,8,4,-66.96,69.63,22.14,16.72,57.36,06/12/2026
D15A,51,22,-66.63,81.92,1172.77,885.59,3037.47,06/12/2026
D15B,20,12,-67.02,81.57,235.72,178.00,610.52,06/12/2026
D15C,14,7,-67.2,79.45,44.64,33.71,115.62,06/12/2026
D15D,8,6,-67.28,79.3,27.17,20.52,70.36,06/12/2026
D23,7,6,-69.43,74.71,40.77,30.79,105.60,06/12/2026
D32,9,6,-63.51,-44.2,41.08,31.02,106.39,06/12/2026
D33A,34,10,-64.59,-56.31,255.76,193.13,662.41,06/12/2026
D33B,21,12,-63.74,-52.45,123.81,93.49,320.68,06/12/2026
D33C,15,7,-64.32,-54.73,89.29,67.43,231.27,06/12/2026
D34,11,8,-67.16,82.05,64.02,48.34,165.80,06/12/2026
D35,28,6,-62.51,-47.65,140.18,105.85,363.06,06/12/2026
D37,30,7,-69.21,36.37,184.47,139.29,477.77,06/12/2026
