Iceberg,Length (NM),Width (NM),Latitude,Longitude,Area (sqMI),Area (sqNM),Area (sqKM),Last Update
A76C,16,7,-52.65,-31.71,112.44,84.90,291.21,07/10/2026
A81,28,25,-61.23,-52.3,545.45,411.88,1412.71,07/10/2026
A83,12,7,-63.01,-50.29,73.29,55.34,189.82,07/10/2026
A84,12,6,-72.27,-108.34,76.06,57.43,196.99,07/10/2026
A85,10,3,-65.57,-53.69,24.18,18.26,62.62,07/10/2026
B09B,27,10,-66.07,143.19,196.50,148.38,508.94,07/10/2026
B09G,12,7,-68.18,41.51,61.80,46.66,160.06,07/10/2026
B22A,29,25,-69.08,174.71,549.47,414.92,1423.13,07/10/2026
B22F,14,7,-66.52,179.73,91.64,69.20,237.35,07/10/2026
B22H,8,6,-70.2,164.19,29.14,22.00,75.47,07/10/2026
B51,16,3,-74.2,-131.75,31.48,23.77,81.52,07/10/2026
C15,14,10,-65.84,143.02,82.44,62.25,213.53,07/10/2026
C18B,10,4,-67.04,47.37,42.63,32.19,110.40,07/10/2026
C18C,10,2,-68.47,39.07,20.49,15.47,53.07,07/10/2026
C21B,12,8,-64.98,95.84,99.99,75.50,258.97,07/10/2026
C24,11,3,-64.84,96.02,22.35,16.87,57.88,07/10/2026
C30,9,3,-64.78,96.28,28.98,21.89,75.06,07/10/2026
C31,9,3,-64.68,96.49,28.21,21.30,73.07,07/10/2026
C36,23,16,-67.51,146.47,330.41,249.50,855.76,07/10/2026
C39,8,3,-66.73,63.75,20.13,15.20,52.13,07/10/2026
D15A,51,22,-66.63,81.92,1172.77,885.59,3037.47,07/10/2026
D15B,20,12,-67.02,81.57,235.72,178.00,610.52,07/10/2026
D15C,14,7,-67.2,79.46,44.64,33.71,115.62,07/10/2026
D15D,8,6,-67.27,79.25,21.58,16.30,55.89,07/10/2026
D23,7,6,-69.43,74.71,40.77,30.79,105.60,07/10/2026
D32,9,6,-61.65,-39.44,41.08,31.02,106.39,07/10/2026
D33A,19,10,-64.41,-55.42,172.22,130.04,446.04,07/10/2026
D33B,21,12,-62.28,-53.46,123.81,93.49,320.68,07/10/2026
D33C,9,5,-63.34,-53.2,31.55,23.82,81.72,07/10/2026
D33D,15,6,-64.09,-55.13,83.08,62.73,215.17,07/10/2026
D34,11,8,-67.15,82.06,64.02,48.34,165.80,07/10/2026
D35,28,6,-62.1,-44.72,140.18,105.85,363.06,07/10/2026
D37,30,7,-69.21,36.37,184.47,139.29,477.77,07/10/2026
