Iceberg,Length (NM),Width (NM),Latitude,Longitude,Area (sqMI),Area (sqNM),Area (sqKM),Last Update
A76C,16,7,-58.59,-36.37,112.44,84.90,291.21,04/30/2026
A81,28,25,-64.4,-55.34,549.33,414.81,1422.75,04/30/2026
A83,12,7,-66.53,-53.18,73.29,55.34,189.82,04/30/2026
A84,12,6,-72.84,-107.21,76.06,57.43,196.99,04/30/2026
A85,10,3,-67.73,-57.32,24.18,18.26,62.62,04/30/2026
B09B,27,10,-66.09,143.2,196.50,148.38,508.94,04/30/2026
B09G,12,7,-68.2,41.55,61.80,46.66,160.06,04/30/2026
B22A,29,25,-70.48,-178.96,554.48,418.70,1436.10,04/30/2026
B22F,14,7,-67.0,179.19,93.17,70.35,241.31,04/30/2026
B22H,8,6,-71.85,174.5,30.19,22.80,78.20,04/30/2026
C15,14,10,-65.86,143.01,82.44,62.25,213.53,04/30/2026
C18B,10,4,-66.9,47.37,42.63,32.19,110.40,04/30/2026
C18C,10,2,-68.47,39.07,20.49,15.47,53.07,04/30/2026
C21B,12,8,-64.98,95.84,99.64,75.24,258.06,04/30/2026
C24,11,3,-64.84,96.02,24.06,18.17,62.33,04/30/2026
C30,9,3,-64.78,96.28,29.47,22.25,76.33,04/30/2026
C31,9,3,-64.68,96.49,27.83,21.01,72.08,04/30/2026
C36,23,16,-67.47,146.48,330.41,249.50,855.76,04/30/2026
C39,8,4,-68.52,72.81,22.24,16.79,57.60,04/30/2026
D15A,51,22,-66.63,81.92,1172.77,885.59,3037.47,04/30/2026
D15B,20,12,-67.02,81.57,235.72,178.00,610.52,04/30/2026
D15C,14,7,-67.14,79.65,73.10,55.20,189.32,04/30/2026
D23,7,6,-69.43,74.71,40.77,30.79,105.60,04/30/2026
D32,9,6,-66.16,-46.48,41.08,31.02,106.39,04/30/2026
D33A,34,10,-64.77,-57.33,247.98,187.25,642.26,04/30/2026
D33B,21,12,-66.64,-53.33,123.81,93.49,320.68,04/30/2026
D33C,15,7,-65.21,-57.72,87.93,66.40,227.73,04/30/2026
D34,11,8,-67.16,82.05,64.02,48.34,165.80,04/30/2026
D35,28,6,-64.92,-48.5,140.18,105.85,363.06,04/30/2026
D37,30,7,-69.21,36.35,184.47,139.29,477.77,04/30/2026
