Iceberg,Length (NM),Width (NM),Latitude,Longitude,Area (sqMI),Area (sqNM),Area (sqKM),Last Update
A76C,16,7,-54.12,-32.38,112.44,84.90,291.21,06/25/2026
A81,28,25,-62.4,-54.2,545.45,411.88,1412.71,06/25/2026
A83,12,7,-63.77,-52.58,73.29,55.34,189.82,06/25/2026
A84,12,6,-72.35,-108.6,76.06,57.43,196.99,06/25/2026
A85,10,3,-66.22,-55.51,24.18,18.26,62.62,06/25/2026
B09B,27,10,-66.08,143.23,196.50,148.38,508.94,06/25/2026
B09G,12,7,-68.18,41.51,61.80,46.66,160.06,06/25/2026
B22A,29,25,-69.35,174.91,549.47,414.92,1423.13,06/25/2026
B22F,14,7,-66.75,178.27,91.64,69.20,237.35,06/25/2026
B22H,8,6,-70.25,164.18,29.37,22.18,76.06,06/25/2026
B51,16,3,-74.24,-131.64,31.48,23.77,81.52,06/25/2026
C15,14,10,-65.84,143.02,82.44,62.25,213.53,06/25/2026
C18B,10,4,-67.03,47.37,42.63,32.19,110.40,06/25/2026
C18C,10,2,-68.47,39.07,20.49,15.47,53.07,06/25/2026
C21B,12,8,-64.98,95.84,99.99,75.50,258.97,06/25/2026
C24,11,3,-64.84,96.02,22.35,16.87,57.88,06/25/2026
C30,9,3,-64.78,96.28,28.98,21.89,75.06,06/25/2026
C31,9,3,-64.68,96.49,28.21,21.30,73.07,06/25/2026
C36,23,16,-67.52,146.47,330.41,249.50,855.76,06/25/2026
C39,8,3,-66.81,64.84,20.13,15.20,52.13,06/25/2026
D15A,51,22,-66.63,81.92,1172.77,885.59,3037.47,06/25/2026
D15B,20,12,-67.02,81.57,235.72,178.00,610.52,06/25/2026
D15C,14,7,-67.2,79.46,44.64,33.71,115.62,06/25/2026
D15D,8,6,-67.27,79.32,21.58,16.30,55.89,06/25/2026
D23,7,6,-69.43,74.71,40.77,30.79,105.60,06/25/2026
D32,9,6,-62.46,-43.03,41.08,31.02,106.39,06/25/2026
D33A,19,10,-64.17,-55.79,172.22,130.04,446.04,06/25/2026
D33B,21,12,-63.09,-52.27,123.81,93.49,320.68,06/25/2026
D33C,9,5,-63.63,-54.21,31.55,23.82,81.72,06/25/2026
D33D,15,6,-64.35,-55.51,83.08,62.73,215.17,06/25/2026
D34,11,8,-67.15,82.06,64.02,48.34,165.80,06/25/2026
D35,28,6,-62.51,-46.82,140.18,105.85,363.06,06/25/2026
D37,30,7,-69.21,36.37,184.47,139.29,477.77,06/25/2026
